1,happy,disgust,fear,surprise,anger,sadness,arousal,valence,2,happy,disgust,fear,surprise,anger,sadness,arousal,valence,3,happy,disgust,fear,surprise,anger,sadness,arousal,valence,4,happy,disgust,fear,surprise,anger,sadness,arousal,valence,5,happy,disgust,fear,surprise,anger,sadness,arousal,valence,6,happy,disgust,fear,surprise,anger,sadness,arousal,valence,other
7,2,0,0,0,0,0,1,1,7,0,1,0,0,0.5,1,0,-0.5,7,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0.5,-0.5,-0.5,7,0,0,0.5,0,0,0,0.5,0,0
8,2,0,0,0.5,0,0,1,1,8,0,0.5,0,0,0,0.5,0.5,0,8,0,0,1.5,0,0,0,1,0,8,2,0,0,0.5,0,0,0.5,1,8,0,0,0,0,0,0,0,0,8,0,0.5,0,0,0.5,1,-0.5,-0.5,puzzle
11,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,-0.5,0,11,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0.5,1,12,0,1,0,0,0,0.5,0.5,-0.5,12,0,0,1.5,0,0,0,0.5,0,12,0.5,0,0,1.5,0,0,0.5,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0.5,0.5,13,0,0,0,0,0,1,0,-0.5,13,0,0,0.5,0,0,0,0.5,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0.5,0,-0.5,0
15,1.5,0,0,0.5,0,0,1,1,15,0,0.5,0,0,0.5,0.5,0,0,15,0,0,0.5,0.5,0.5,0,0.5,0,15,0,0,0,1,0,0,0.5,0,15,0,0,0,0,0,1,-0.5,-0.5,15,0,0,0,0,1.5,0.5,0,-0.5,0
21,1,0,0,0,0,0,0,0.5,21,0,1,0,0,0,0,0,-1,21,0,0.5,0,0,0.5,0.5,0.5,-0.5,21,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0.5,-0.5,-0.5,21,0,0.5,0,0,1.5,0.5,0,-1,0
28,2,0,0,0,0,0,1,1,28,0,0,0,0,0,0,0.5,0,28,0,0,0,0,0,0,0,0,28,1,0,0,0.5,0,0,0.5,0.5,28,0,0,0,0,0.5,0.5,0,-0.5,28,0,0,0,0,0,0,0,0,0
31,1.5,0,0,0,0,0,1,0.5,31,0,2,0.5,0,0,0,0.5,-1,31,0,0,2,0,0,0,1,-0.5,31,0,0,0,1,0,0,0.5,0.5,31,0,0,0,0,0,1,0,-0.5,31,0,1,0,0,1.5,0.5,1,-1,0
36,1.5,0,0,0,0,0,0.5,0.5,36,0,0,0,0,0,0,0.5,0,36,0,0,1.5,0,0,0,0.5,0,36,0,0,0,1,0,0,0,0,36,0,0,0,0,0,1,-0.5,-0.5,36,0,0,0,0,0,1.5,0,-0.5,0
39,2,0,0,0,0,0,1,1,39,0,0.5,0,0,0,0.5,-0.5,0,39,0,0,1.5,0.5,0,0,0.5,0,39,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,-0.5,-1,39,0,0,0,0,0,0,0,0,0
43,2,0,0,0,0,0,1,1,43,0,0.5,0.5,0,0,0.5,-0.5,0,43,0,0,1.5,0,0,0,0.5,0,43,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
44,2,0,0,0,0,0,1,1,44,0,1,0,0,0,1.5,0.5,-1,44,0,0,2,0,0,0,1,-0.5,44,0.5,0,0,2,0,0,1,0.5,44,0,0,0,0,0.5,1,-0.5,-0.5,44,0,0,0,0.5,1,1.5,0.5,-1,0
63,2,0,0,0,0,0,1,1,63,0.5,1.5,0,0,0,0,0.5,0.5,63,0.5,1,1.5,0,0,0,1,0.5,63,0,0,0,0,0,0.5,0.5,0,63,0,0,0,0,0.5,0,0.5,0,63,0,0,0,0,0.5,0.5,0,0,0
71,1.5,0,0,0,0,0,1,1,71,0,2,0.5,0,0,0.5,0.5,0,71,0,0.5,2,0,0,0,1,-0.5,71,0,0,0,0,0,0,0,0,71,0,0,0,0,1,1,0,-0.5,71,0,0,0,0,1.5,1,0,-0.5,0
75,2,0,0,0,0,0,1,1,75,0,1.5,0,0,0.5,0,0.5,0,75,0,0,1.5,0,0,0,0.5,0,75,2,0,0,0,0,0,1,1,75,0,0,0,0,0,1,0,-0.5,75,0,0,0,0,1.5,0,0,-1,0
76,1.5,0,0,0,0,0,0.5,1,76,0,1.5,0,0,0,1,0,0,76,0,0,1.5,0.5,0,0,0.5,0,76,0,0,0,1.5,0,0,0.5,0.5,76,0,0,0,0,0,1,-0.5,-0.5,76,0,0,0,0,1.5,0.5,0,-0.5,0
79,1.5,0,0,0,0,0,0.5,1,79,0,1.5,1,0,0,0,0.5,-0.5,79,0,0.5,1,0,0,0,0.5,-0.5,79,0.5,0,0,2,0,0,1,0.5,79,0,0,0,0,0.5,1,0,-1,79,0,0,0,0,1.5,0,0.5,-1,0
80,1.5,0,0,0,0,0,0.5,1,80,0,1,0.5,0,0,1,0,-1,80,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,80,0,0,0,0,0,1.5,0,-0.5,80,0,0,0,0,0,0.5,0,-0.5,0
81,1.5,0,0,0,0,0,0.5,0.5,81,0,1.5,0,0,0,0,0,-0.5,81,0,0.5,2,0,0,0,1,-0.5,81,1,0,0,0,0,0,0.5,0.5,81,0,0,0,0,0,1.5,0,-0.5,81,0,1.5,0,0,0.5,0.5,0.5,-0.5,0
82,2,0,0,0,0,0,0.5,1,82,1,0.5,0.5,0,0,0,0.5,0,82,0,0,1.5,0,0,0,1,0,82,0,0,0,1,0,0,1,0.5,82,0,0,0,0,0,1,0,-0.5,82,0,0,0,0.5,1,0,0,0,0
83,1.5,0,0,0,0,0,0.5,0.5,83,0,0,0,0,0,0,0,0,83,0,0,0.5,0,0,0.5,0,0,83,0.5,0,0,1.5,0,0,1,0.5,83,0,0,0,0,0,2,0,-1,83,0,0,0,0,2,0,0,-1,0
84,1,0,0,0,0,0,0.5,0.5,84,0,1,0,0,0,0,0.5,0,84,0,0,1.5,0,0,0,1,0,84,0,0,0,0,0,0,0,0,84,0,0,0,0,0,1.5,0,-0.5,84,0,0,0,0,1,0,0,-0.5,0
87,1,0,0,0,0,0,0.5,1,87,0,0,0,0,0,0,0,0,87,0,0,1.5,0,0,0,1,0,87,0,0,0,0,0,0,0,0,87,0,0,0,0,0,1,0,-0.5,87,0,0.5,0,0,1,1.5,0,-1,0
91,2,0,0,0,0,0,0.5,1,91,0,1.5,0,0,0,0,0.5,0,91,0,0,1.5,0,0,0,0.5,0,91,1.5,0,0,1,0,0,1,1,91,0,0.5,0,0,0,1.5,0,-0.5,91,0,0,0,0,0.5,1.5,0,-0.5,0
92,2,0,0,0,0,0,1,1,92,0,0.5,0.5,1.5,0,0,0.5,0,92,0,0,1.5,0,0,0.5,0.5,0,92,0,0,0,1,0,0,0,0,92,0,0,0,0,0,0,0,0,92,0,0,0,0,0.5,1,0,-0.5,0
